PBN	Read	Write	Erase
0	3261	1454	28
1	134	68	1
2	3032	1352	26
3	3239	1465	28
4	3293	1456	28
5	3340	1504	28
6	3353	1513	28
7	3363	1524	28
8	3162	1388	27
9	32	6	0
10	844	383	7
11	3097	1353	27
12	248	116	2
13	3293	1489	28
14	3054	1355	26
15	3089	1381	26
16	3153	1415	27
17	2905	1267	25
18	1976	861	17
19	3030	1394	25
20	3098	1390	27
21	3046	1367	27
22	2668	1194	23
23	3181	1409	27
24	3171	1404	27
25	3370	1535	28
26	3089	1411	27
27	3163	1395	27
28	3191	1455	27
29	627	299	5
30	925	431	8
31	3116	1378	27
32	3206	1435	27
33	3195	1424	27
34	2474	1099	21
35	399	202	3
36	2928	1288	25
37	147	82	1
38	3143	1438	27
39	3253	1482	27
40	705	311	6
41	3156	1382	27
42	3275	1507	27
43	3187	1484	26
44	3289	1521	27
45	1372	648	11
46	3116	1471	26
47	3263	1494	27
48	260	129	2
49	2834	1357	23
50	873	413	7
51	493	231	4
52	1315	596	11
53	1314	594	11
54	2268	1088	18
55	3203	1435	27
56	3217	1481	27
57	3049	1343	26
58	3061	1323	27
59	3148	1413	27
60	817	390	7
61	3261	1490	27
62	3157	1453	27
63	3033	1354	27
64	998	474	8
65	3228	1458	27
66	3290	1518	27
67	3250	1481	27
68	149	84	1
69	3216	1445	27
70	2956	1320	25
71	3138	1368	27
72	3150	1411	27
73	3254	1484	27
74	3210	1472	27
75	3250	1481	27
76	1241	585	10
77	3181	1439	27
78	3284	1514	27
79	666	337	5
80	3112	1436	26
81	271	139	2
82	480	217	4
83	3226	1452	27
84	2397	1153	19
85	3207	1463	27
86	3261	1488	27
87	3151	1378	27
88	847	387	7
89	3107	1398	27
90	3148	1406	27
91	726	331	6
92	2467	1157	20
93	3177	1404	27
94	2648	1172	23
95	3183	1408	27
96	3142	1369	27
97	3121	1420	26
98	3223	1457	27
99	3195	1422	27
100	3103	1396	27
101	3195	1424	27
102	3177	1402	27
103	503	242	4
104	3027	1381	25
105	3144	1405	27
106	2286	1041	19
107	3160	1424	27
108	2673	1232	22
109	2998	1427	24
110	2944	1370	24
111	2209	996	19
112	3111	1403	27
113	1500	715	12
114	1967	921	16
115	282	151	2
116	2997	1366	25
117	3066	1398	26
118	3194	1454	27
119	3243	1471	27
120	2421	1108	20
121	1858	876	15
122	3343	1571	27
123	529	267	4
124	3215	1477	27
125	3274	1502	27
126	3178	1437	27
127	750	356	6
128	3042	1368	26
129	3244	1471	27
130	3097	1423	26
131	2803	1227	25
132	3100	1328	27
133	2103	924	18
134	3032	1326	26
135	3172	1400	27
136	3172	1462	27
137	3105	1401	26
138	2660	1216	22
139	349	153	3
140	2687	1211	23
141	3161	1419	27
142	2061	946	17
143	1319	597	11
144	3233	1464	27
145	3094	1387	27
146	2918	1346	24
147	1943	927	16
148	2264	1085	18
149	269	138	2
150	832	376	7
151	3168	1391	27
152	3136	1392	27
153	2749	1239	23
154	596	269	5
155	3135	1395	27
156	1298	643	10
157	2831	1353	23
158	1181	524	10
159	3103	1327	27
160	3124	1348	27
161	1732	778	15
162	3110	1401	27
163	867	409	7
164	737	345	6
165	3162	1420	27
166	3129	1358	27
167	3145	1374	27
168	3201	1430	27
169	3156	1383	27
170	3114	1372	27
171	3225	1454	27
172	3218	1446	27
173	3162	1423	27
174	3078	1338	27
175	3154	1415	27
176	1442	656	12
177	3145	1404	27
178	1077	487	9
179	3204	1431	27
180	3110	1399	26
181	1376	654	11
182	276	145	2
183	1623	768	14
184	3292	1518	27
185	2065	949	17
186	3145	1441	26
187	3261	1491	27
188	2404	1090	20
189	3163	1388	27
190	3213	1437	27
191	2884	1271	25
192	1364	643	11
193	1278	623	10
194	777	383	6
195	3142	1436	26
196	3168	1392	27
197	3256	1483	27
198	3186	1412	27
199	2999	1322	26
200	3157	1413	27
201	3210	1434	27
202	32	32	0
203	1372	615	12
204	3054	1310	27
205	2005	889	17
206	3067	1389	26
207	3053	1340	27
208	3262	1488	27
209	3217	1442	27
210	884	426	7
211	1423	635	12
212	3060	1352	26
213	500	237	4
214	3149	1442	26
215	3230	1454	27
216	257	126	2
217	3031	1387	26
218	3145	1378	27
219	2824	1247	24
220	1195	540	10
221	2205	1023	18
222	2246	1030	19
223	1126	536	9
224	3079	1367	27
225	3081	1381	26
226	3118	1374	27
227	3163	1419	27
228	3209	1433	27
229	3057	1376	27
230	3221	1444	27
231	397	199	3
232	1489	666	13
233	3251	1474	27
234	1017	492	8
235	758	364	6
236	3049	1337	27
237	3176	1400	27
238	754	361	6
239	2111	960	18
240	3198	1420	27
241	2929	1348	25
242	2435	1120	20
243	163	98	1
244	2488	1176	21
245	3239	1463	27
246	3122	1411	26
247	637	309	5
248	3196	1451	27
249	3241	1464	27
250	270	139	2
251	2415	1063	21
252	1765	809	15
253	3185	1439	27
254	3240	1462	27
255	3020	1374	25
256	1716	794	14
257	632	304	5
258	1863	874	16
259	3218	1474	27
260	2649	1201	22
261	3196	1419	27
262	3162	1387	27
263	3211	1436	27
264	1364	641	11
265	1114	523	9
266	417	221	3
267	3138	1361	27
268	3119	1341	27
269	3247	1473	27
270	3231	1454	27
271	291	160	2
272	3135	1392	27
273	1810	856	15
274	2013	895	17
275	3053	1278	27
276	163	98	1
277	2978	1373	25
278	1555	700	14
279	2091	938	18
280	3179	1436	27
281	2253	1003	19
282	3117	1406	27
283	3256	1481	27
284	2595	1147	22
285	3124	1419	26
286	3226	1451	27
287	3132	1357	27
288	3157	1381	27
289	3183	1407	27
290	1868	882	15
291	378	182	3
292	3143	1432	27
293	3096	1417	27
294	2013	926	17
295	2438	1122	20
296	1477	689	12
297	611	283	5
298	3279	1504	27
299	1774	854	14
300	3070	1327	27
301	3162	1385	27
302	1043	485	9
303	950	426	8
304	1074	483	9
305	2636	1186	23
306	1313	590	11
307	1824	803	16
308	965	440	8
309	3055	1343	27
310	141	75	1
311	662	300	6
312	3161	1385	27
313	3089	1313	27
314	3143	1367	27
315	3164	1388	27
316	3067	1360	26
317	1158	501	10
318	3129	1385	27
319	3186	1410	27
320	1454	665	12
321	3209	1465	27
322	3149	1406	27
323	3147	1404	27
324	163	98	1
325	3148	1433	27
326	1075	484	9
327	3073	1328	27
328	3237	1461	27
329	3226	1450	27
330	3198	1421	27
331	3175	1431	27
332	2237	1016	19
333	1896	844	16
334	2557	1174	21
335	398	201	3
336	3131	1419	27
337	3217	1441	27
338	3144	1370	27
339	3126	1421	26
340	3153	1449	26
341	3256	1482	27
342	3126	1384	27
343	149	84	1
344	2986	1272	27
345	3143	1369	27
346	2502	1129	21
347	1424	669	12
348	1330	609	11
349	3128	1354	27
350	2969	1319	27
351	1201	545	10
352	3179	1403	27
353	2360	1045	20
354	863	405	7
355	624	297	5
356	1155	532	10
357	2995	1318	27
358	3107	1334	27
359	3018	1310	26
360	3127	1351	27
361	3149	1374	27
362	1569	716	13
363	3063	1360	26
364	1417	662	12
365	3162	1385	27
366	3146	1431	27
