PBN	Read	Write	Erase
0	278	114	3
1	2	2	0
2	253	120	3
3	288	122	3
4	319	123	3
5	320	125	3
6	309	114	3
7	304	109	3
8	320	125	3
9	308	111	3
10	306	111	3
11	136	46	1
12	309	114	3
13	308	113	3
14	136	43	1
15	314	118	3
16	114	49	1
17	115	50	1
18	116	51	1
19	116	51	1
20	115	50	1
21	116	51	1
22	121	55	1
23	86	52	1
24	120	55	1
25	242	84	2
26	220	90	2
27	120	55	1
28	120	55	1
29	221	89	2
30	207	99	2
31	286	116	3
32	313	118	3
33	309	114	3
34	222	92	2
35	224	93	2
36	223	93	2
37	43	15	0
38	313	134	3
39	312	117	3
40	310	116	3
41	304	110	3
42	237	90	2
43	322	126	3
44	317	122	3
45	313	118	3
46	319	123	3
47	278	114	3
48	310	116	3
49	318	124	3
50	306	110	3
51	313	119	3
52	323	129	3
53	311	117	3
54	312	116	3
55	310	116	3
56	325	131	3
57	321	127	3
58	136	53	1
59	323	129	3
60	278	113	3
61	120	55	1
62	115	50	1
63	115	50	1
64	156	63	1
65	310	116	3
66	120	53	1
67	288	124	3
68	120	55	1
69	116	51	1
70	116	51	1
71	118	53	1
72	121	55	1
73	120	55	1
74	35	8	0
75	16	16	0
76	15	15	0
77	16	16	0
78	16	16	0
79	15	15	0
80	14	14	0
81	13	13	0
82	12	12	0
83	286	116	3
84	219	90	2
85	310	116	3
86	132	46	1
87	310	116	3
88	32	16	0
89	223	92	2
90	314	120	3
91	224	94	2
92	308	114	3
93	220	90	2
94	217	87	2
95	226	96	2
96	308	114	3
97	220	90	2
98	311	115	3
99	293	122	3
100	223	93	2
101	221	91	2
102	315	120	3
103	204	82	2
104	309	115	3
105	309	115	3
106	309	113	3
107	313	119	3
108	313	119	3
109	310	114	3
110	122	57	1
111	313	118	3
112	312	118	3
113	221	90	2
114	312	118	3
115	309	114	3
116	310	116	3
117	42	14	0
118	16	16	0
119	16	16	0
120	16	16	0
121	16	16	0
122	16	16	0
123	16	16	0
124	109	63	1
125	119	54	1
126	116	51	1
127	307	128	3
128	119	54	1
129	32	8	0
130	119	54	1
131	120	55	1
132	119	54	1
133	120	55	1
134	116	51	1
135	322	128	3
136	308	114	3
137	308	114	3
138	318	124	3
139	320	125	3
140	322	128	3
141	276	113	3
142	325	130	3
143	204	82	2
144	320	124	3
145	236	84	2
146	249	92	2
147	250	93	2
148	334	140	3
149	276	110	3
150	230	100	2
151	319	125	3
152	316	122	3
153	220	88	2
154	245	87	2
155	222	91	2
156	220	90	2
157	39	11	0
158	16	16	0
159	16	16	0
160	16	16	0
161	16	16	0
162	16	16	0
163	16	16	0
164	16	16	0
165	193	91	2
166	219	89	2
167	205	75	2
168	203	73	2
169	136	47	1
170	32	14	0
171	222	92	2
172	222	92	2
173	208	78	2
174	224	93	2
175	218	88	2
176	137	44	1
177	119	54	1
178	120	55	1
179	116	51	1
180	117	52	1
181	119	54	1
182	119	54	1
183	120	55	1
184	123	56	1
185	206	76	2
186	204	74	2
187	205	75	2
188	182	79	2
189	209	79	2
190	210	80	2
191	214	82	2
192	209	79	2
193	202	72	2
194	205	75	2
195	209	79	2
196	211	81	2
197	211	81	2
198	213	82	2
199	16	16	0
200	16	16	0
201	16	16	0
202	16	16	0
203	16	16	0
204	16	16	0
205	197	87	2
206	208	78	2
207	210	78	2
208	205	75	2
209	212	80	2
210	205	75	2
211	209	79	2
212	32	9	0
213	206	76	2
214	210	80	2
215	210	80	2
216	216	86	2
217	208	78	2
218	205	75	2
219	171	72	2
220	213	83	2
221	143	62	1
222	208	78	2
223	220	89	2
224	170	71	2
225	120	55	1
226	117	52	1
227	117	52	1
228	221	90	2
229	158	62	1
230	119	52	1
231	216	86	2
232	191	83	2
233	205	75	2
234	206	76	2
235	118	53	1
236	118	53	1
237	118	53	1
238	41	12	0
239	16	16	0
240	16	16	0
241	16	16	0
242	16	16	0
243	16	16	0
244	194	87	2
245	208	77	2
246	205	75	2
247	206	76	2
248	208	78	2
249	213	83	2
250	205	75	2
251	212	81	2
252	209	79	2
253	32	13	0
254	207	77	2
255	213	83	2
256	178	79	2
257	209	79	2
258	211	81	2
259	205	73	2
260	212	82	2
261	211	81	2
262	214	84	2
263	220	89	2
264	175	76	2
265	208	78	2
266	133	45	1
267	205	75	2
268	213	83	2
269	212	82	2
270	208	76	2
271	213	83	2
272	146	53	1
273	117	52	1
274	117	52	1
275	204	74	2
276	208	76	2
277	206	76	2
278	43	15	0
279	16	16	0
280	15	15	0
281	16	16	0
282	16	16	0
283	16	16	0
284	16	16	0
285	197	86	2
286	120	55	1
287	117	52	1
288	206	75	2
289	120	55	1
290	199	87	2
291	206	76	2
292	209	79	2
293	32	10	0
294	207	77	2
295	208	78	2
296	225	95	2
297	209	79	2
298	214	84	2
299	206	76	2
300	216	86	2
301	215	85	2
302	217	87	2
303	229	97	2
304	174	75	2
305	207	77	2
306	215	85	2
307	216	86	2
308	183	84	2
309	218	88	2
310	208	74	2
311	216	86	2
312	208	78	2
313	205	75	2
314	206	76	2
315	216	86	2
316	208	77	2
317	135	49	1
318	38	10	0
319	16	16	0
320	14	14	0
321	16	16	0
322	16	16	0
323	16	16	0
324	16	16	0
325	16	16	0
326	16	16	0
327	111	64	1
328	209	79	2
329	204	74	2
330	204	74	2
331	208	77	2
332	117	52	1
333	118	53	1
334	141	48	1
335	32	14	0
336	120	55	1
337	120	55	1
338	120	55	1
339	129	64	1
340	208	78	2
341	205	75	2
342	205	75	2
343	198	91	2
344	220	89	2
345	207	77	2
346	219	88	2
347	174	75	2
348	208	78	2
349	209	79	2
350	206	76	2
351	146	64	1
352	218	88	2
353	210	78	2
354	223	93	2
355	208	78	2
356	211	80	2
357	172	73	2
358	205	75	2
359	212	81	2
360	211	81	2
361	38	10	0
362	16	16	0
363	16	16	0
364	16	16	0
365	16	16	0
366	16	16	0
367	16	16	0
368	181	78	2
369	208	78	2
370	206	75	2
371	208	78	2
372	207	77	2
373	204	74	2
374	213	83	2
375	32	15	0
376	208	76	2
377	213	83	2
378	210	80	2
379	208	77	2
380	146	53	1
381	118	53	1
382	118	53	1
383	207	77	2
384	120	55	1
385	120	55	1
386	124	57	1
387	208	78	2
388	208	78	2
389	205	75	2
390	122	57	1
391	122	57	1
392	189	83	2
393	212	81	2
394	175	76	2
395	208	78	2
396	134	47	1
397	206	76	2
398	211	81	2
399	152	58	1
400	203	73	2
401	47	16	0
402	16	16	0
403	16	16	0
404	16	16	0
405	16	16	0
406	16	16	0
407	16	16	0
408	16	16	0
409	180	77	2
410	208	78	2
411	206	76	2
412	208	78	2
413	211	81	2
414	211	81	2
415	209	79	2
416	206	76	2
417	213	82	2
418	208	78	2
419	210	80	2
420	210	80	2
421	173	74	2
422	210	80	2
423	207	77	2
424	212	78	2
425	209	78	2
426	204	74	2
427	206	75	2
428	214	84	2
429	210	80	2
430	212	82	2
431	124	58	1
432	85	51	1
433	207	77	2
434	177	75	2
435	206	76	2
436	120	55	1
437	32	9	0
438	120	55	1
439	120	55	1
440	123	58	1
441	214	83	2
442	116	51	1
443	47	16	0
444	16	16	0
445	16	16	0
446	16	16	0
447	16	16	0
448	16	16	0
449	16	16	0
450	16	16	0
451	205	91	2
452	210	80	2
453	206	76	2
454	32	3	0
455	208	78	2
456	208	78	2
457	206	76	2
458	101	44	1
459	219	89	2
460	207	77	2
461	206	76	2
462	203	73	2
463	219	89	2
464	219	89	2
465	210	80	2
466	218	88	2
467	175	75	2
468	210	80	2
469	206	76	2
470	205	75	2
471	219	89	2
472	208	76	2
473	209	77	2
474	219	89	2
475	209	79	2
476	202	72	2
477	147	51	1
478	211	80	2
479	32	9	0
480	173	74	2
481	212	81	2
482	209	79	2
483	209	78	2
484	210	80	2
485	35	8	0
486	16	16	0
487	16	16	0
488	16	16	0
489	16	16	0
490	16	16	0
491	16	16	0
492	16	16	0
493	16	16	0
494	91	53	1
495	120	55	1
496	117	51	1
497	115	50	1
498	120	55	1
499	117	52	1
500	113	48	1
501	118	53	1
502	120	55	1
503	211	80	2
504	204	74	2
505	119	54	1
506	199	87	2
507	208	78	2
508	212	80	2
509	136	47	1
510	207	77	2
511	204	74	2
512	210	80	2
513	210	80	2
514	210	80	2
515	221	90	2
516	217	87	2
517	207	77	2
518	207	77	2
519	211	81	2
520	32	16	0
521	208	78	2
522	174	75	2
523	174	75	2
524	220	90	2
525	125	59	1
526	215	84	2
527	46	15	0
528	16	16	0
529	16	16	0
530	16	16	0
531	16	16	0
532	16	16	0
533	16	16	0
534	16	16	0
535	16	16	0
536	211	98	2
537	208	78	2
538	217	87	2
539	204	72	2
540	218	88	2
541	208	78	2
542	210	80	2
543	204	74	2
544	216	86	2
545	207	77	2
546	115	50	1
547	113	48	1
548	218	87	2
549	150	57	1
550	117	52	1
551	128	62	1
552	84	50	1
553	118	53	1
554	116	51	1
555	116	51	1
556	129	64	1
557	128	63	1
558	211	79	2
559	224	93	2
560	120	55	1
561	207	77	2
562	132	50	1
563	181	78	2
564	32	9	0
565	208	78	2
566	211	81	2
567	208	77	2
568	208	77	2
569	207	77	2
570	36	8	0
571	16	16	0
572	16	16	0
573	16	16	0
574	16	16	0
575	16	16	0
576	16	16	0
577	16	16	0
578	16	16	0
579	175	75	2
580	208	78	2
581	207	77	2
582	206	75	2
583	208	78	2
584	211	81	2
585	208	78	2
586	205	75	2
587	212	80	2
588	208	78	2
589	211	78	2
590	210	79	2
591	187	86	2
592	229	97	2
593	213	82	2
594	218	87	2
595	218	87	2
596	216	85	2
597	210	79	2
598	219	88	2
599	218	87	2
600	135	46	1
601	209	78	2
602	211	80	2
603	211	80	2
604	207	76	2
605	209	78	2
606	213	82	2
607	202	90	2
608	18	17	0
609	18	17	0
610	18	17	0
611	18	17	0
612	18	17	0
613	18	17	0
614	18	17	0
615	17	16	0
616	18	17	0
617	224	92	2
618	124	58	1
619	125	58	1
620	123	57	1
621	122	56	1
622	153	56	1
623	34	17	0
624	206	75	2
625	207	76	2
626	200	87	2
627	213	82	2
628	125	57	1
629	174	74	2
630	213	81	2
631	211	80	2
632	208	77	2
633	212	81	2
634	210	79	2
635	213	80	2
636	213	82	2
637	207	76	2
638	207	76	2
639	209	78	2
