PBN	Read	Write	Erase
0	1525	664	14
1	2370	1018	21
2	1131	470	10
3	2370	1017	21
4	1475	617	13
5	2460	1074	21
6	881	384	8
7	2310	989	21
8	2394	1009	21
9	2199	928	19
10	1830	774	16
11	2338	1017	21
12	1964	842	17
13	2375	1022	21
14	2427	1042	21
15	2447	1062	21
16	2467	1082	21
17	2443	1058	21
18	2501	1116	21
19	2521	1136	21
20	2541	1156	21
21	1867	877	15
22	394	196	3
23	2451	1130	21
24	628	298	5
25	2133	977	18
26	2462	1109	21
27	2514	1129	21
28	148	83	1
29	1315	622	11
30	850	389	7
31	2388	1068	21
32	493	230	4
33	255	123	2
34	2350	1029	21
35	2434	1049	21
36	1047	453	9
37	1355	595	12
38	700	304	6
39	2321	1000	21
40	2388	1003	21
41	2100	887	18
42	2446	1061	21
43	2466	1081	21
44	2466	1080	21
45	1201	541	10
46	969	441	8
47	2377	1055	21
48	1550	693	13
49	2416	1063	21
50	1631	707	14
51	2418	1065	21
52	1526	668	13
53	2419	1066	21
54	2471	1086	21
55	2491	1106	21
56	2511	1126	21
57	2531	1146	21
58	395	197	3
59	2490	1137	21
60	1926	870	16
61	2494	1141	21
62	146	80	1
63	575	277	5
64	2456	1103	21
65	2019	897	17
66	2229	1007	19
67	2448	1095	21
68	258	126	2
69	2438	1085	21
70	474	210	4
71	2430	1077	21
72	819	357	7
73	2425	1072	21
74	2477	1092	21
75	1812	822	15
76	1328	602	11
77	721	325	6
78	2337	1048	21
79	1066	472	9
80	2380	1026	21
81	1231	572	10
82	2386	1033	21
83	2097	909	18
84	1407	615	12
85	2340	1019	21
86	2424	1039	21
87	2444	1059	21
88	973	445	8
89	2391	1037	21
90	1200	540	10
91	2390	1036	21
92	2458	1073	21
93	2478	1093	21
94	401	203	3
95	2437	1084	21
96	147	81	1
97	2426	1073	21
98	2463	1077	21
99	1906	852	16
100	1557	699	13
101	622	292	5
102	2338	1049	21
103	261	129	2
104	2392	1039	21
105	2444	1059	21
106	2464	1079	21
107	484	220	4
108	2424	1071	21
109	2476	1091	21
110	2496	1111	21
111	2516	1131	21
112	847	385	7
113	2479	1126	21
114	32	32	0
115	1857	833	16
116	2451	1098	21
117	710	314	6
118	2445	1092	21
119	2497	1112	21
120	2031	909	17
121	2470	1117	21
122	1079	485	9
123	1281	587	11
124	2446	1093	21
125	2266	1012	19
126	2453	1100	21
127	1830	840	15
128	2456	1103	21
129	1009	481	8
130	148	82	1
131	344	178	3
132	1337	609	12
133	2372	1019	21
134	2424	1039	21
135	1195	535	10
136	2390	1037	21
137	2442	1057	21
138	264	132	2
139	2386	1032	21
140	607	277	5
141	2053	897	18
142	2379	1026	21
143	2431	1046	21
144	494	230	4
145	2391	1038	21
146	2443	1058	21
147	32	32	0
148	2461	1077	21
149	1540	683	13
150	1621	730	14
151	2396	1043	21
152	849	388	7
153	2402	1050	21
154	2453	1069	21
155	734	339	6
156	2413	1061	21
157	1418	629	12
158	2475	1092	21
159	2493	1110	21
160	2511	1128	21
161	2529	1146	21
162	2547	1164	21
163	144	79	1
164	1042	482	9
165	2476	1125	21
166	374	177	3
167	1860	838	16
168	1293	569	11
169	2391	1072	21
170	2473	1090	21
171	2491	1108	21
172	253	122	2
173	2448	1096	21
174	2016	895	17
175	2451	1099	21
176	1437	646	12
177	609	279	5
178	1148	521	10
179	2367	1047	21
180	491	227	4
181	1692	735	15
182	2372	1020	21
183	2423	1039	21
184	2210	957	19
185	2396	1044	21
186	2447	1063	21
187	2449	1065	21
188	1439	648	12
189	2521	1137	21
190	2540	1156	21
191	890	428	7
192	32	32	0
193	2099	976	18
194	739	343	6
195	2397	1077	21
196	1561	704	13
197	137	71	1
198	2158	944	19
199	1656	733	14
200	2407	1055	21
201	2469	1086	21
202	375	177	3
203	2426	1075	21
204	2476	1093	21
205	1738	782	15
206	1089	495	9
207	257	125	2
208	2163	973	19
209	946	418	8
210	2282	1029	19
211	1298	574	11
212	2455	1102	21
213	1309	583	11
214	2441	1088	21
215	624	294	5
216	2434	1081	21
217	501	237	4
218	2375	1054	21
219	2459	1074	21
