PSN	Read	Write	Erase
0	19	11	3
1	10	5	3
2	9	4	3
3	9	4	3
4	9	4	3
5	9	4	3
6	9	4	3
7	9	4	3
8	9	4	3
9	8	3	3
10	10	4	3
11	8	3	3
12	8	3	3
13	8	3	3
14	8	3	3
15	8	3	3
16	8	3	3
17	8	3	3
18	8	3	3
19	8	3	3
20	8	3	3
21	8	3	3
22	8	3	3
23	8	3	3
24	8	3	3
25	8	3	3
26	8	3	3
27	8	3	3
28	8	3	3
29	8	3	3
30	8	3	3
31	8	3	3
32	1	1	0
33	0	0	0
34	0	0	0
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	1	1	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	19	12	3
65	9	4	3
66	8	4	3
67	7	3	3
68	8	4	3
69	7	3	3
70	8	4	3
71	7	3	3
72	8	4	3
73	7	3	3
74	8	4	3
75	7	3	3
76	10	5	3
77	7	3	3
78	8	4	3
79	7	3	3
80	8	4	3
81	7	3	3
82	8	4	3
83	7	3	3
84	8	4	3
85	7	3	3
86	8	4	3
87	7	3	3
88	8	4	3
89	7	3	3
90	8	4	3
91	7	3	3
92	7	3	3
93	7	3	3
94	7	3	3
95	7	3	3
96	19	11	3
97	8	3	3
98	9	4	3
99	8	3	3
100	9	4	3
101	8	3	3
102	9	4	3
103	8	3	3
104	9	4	3
105	8	3	3
106	10	5	3
107	8	3	3
108	11	5	3
109	8	3	3
110	9	4	3
111	8	3	3
112	9	4	3
113	8	3	3
114	9	4	3
115	8	3	3
116	11	5	3
117	8	3	3
118	9	4	3
119	8	3	3
120	9	4	3
121	8	3	3
122	9	4	3
123	8	3	3
124	9	4	3
125	10	4	3
126	8	3	3
127	8	3	3
128	19	10	3
129	9	3	3
130	10	4	3
131	9	3	3
132	10	4	3
133	9	3	3
134	10	4	3
135	9	3	3
136	10	4	3
137	9	3	3
138	12	6	3
139	9	3	3
140	13	6	3
141	9	3	3
142	11	5	3
143	9	3	3
144	11	5	3
145	9	3	3
146	11	5	3
147	9	3	3
148	10	4	3
149	9	3	3
150	10	4	3
151	9	3	3
152	10	4	3
153	9	3	3
154	10	4	3
155	9	3	3
156	9	3	3
157	9	3	3
158	9	3	3
159	9	3	3
160	18	10	3
161	9	3	3
162	11	5	3
163	9	3	3
164	11	5	3
165	9	3	3
166	11	5	3
167	9	3	3
168	11	5	3
169	9	3	3
170	12	6	3
171	9	3	3
172	12	6	3
173	9	3	3
174	12	5	3
175	9	3	3
176	10	4	3
177	9	3	3
178	10	4	3
179	9	3	3
180	10	4	3
181	9	3	3
182	10	4	3
