PSN	Read	Write	Erase
0	193	111	28
1	110	55	28
2	112	55	28
3	108	53	28
4	107	52	28
5	107	52	28
6	108	52	28
7	107	51	28
8	105	50	28
9	106	50	28
10	108	50	28
11	102	47	28
12	101	46	28
13	102	46	28
14	99	44	28
15	99	44	28
16	100	44	28
17	98	43	28
18	98	43	28
19	99	43	28
20	96	41	28
21	99	41	28
22	93	37	28
23	91	36	28
24	92	36	28
25	90	35	28
26	91	35	28
27	91	34	28
28	87	32	28
29	87	32	28
30	87	32	28
31	88	32	28
32	7	4	1
33	4	2	1
34	4	2	1
35	4	2	1
36	4	2	1
37	4	2	1
38	4	2	1
39	4	2	1
40	4	2	1
41	4	2	1
42	5	3	1
43	6	3	1
44	4	2	1
45	4	2	1
46	4	2	1
47	4	2	1
48	4	2	1
49	4	2	1
50	4	2	1
51	4	2	1
52	4	2	1
53	4	2	1
54	4	2	1
55	4	2	1
56	4	2	1
57	4	2	1
58	4	2	1
59	4	2	1
60	4	2	1
61	4	2	1
62	4	2	1
63	4	2	1
64	182	103	26
65	101	50	26
66	102	50	26
67	101	49	26
68	99	48	26
69	99	48	26
70	100	48	26
71	98	47	26
72	98	46	26
73	96	44	26
74	95	44	26
75	95	44	26
76	94	43	26
77	94	43	26
78	94	43	26
79	95	43	26
80	95	42	26
81	92	40	26
82	90	39	26
83	90	39	26
84	91	39	26
85	90	38	26
86	88	37	26
87	89	37	26
88	88	36	26
89	90	35	26
90	83	31	26
91	81	30	26
92	81	30	26
93	83	30	26
94	79	28	26
95	79	28	26
96	193	111	28
97	109	54	28
98	107	53	28
99	107	53	28
100	106	52	28
101	107	52	28
102	105	51	28
103	105	51	28
104	106	51	28
105	105	50	28
106	104	49	28
107	103	48	28
108	100	46	28
109	100	46	28
110	100	45	28
111	98	44	28
112	98	44	28
113	99	44	28
114	97	43	28
115	97	43	28
116	100	43	28
117	94	40	28
118	94	39	28
119	93	38	28
120	91	37	28
121	93	37	28
122	93	36	28
123	87	33	28
124	87	33	28
125	87	33	28
126	87	33	28
127	87	33	28
128	192	109	28
129	114	55	28
130	108	52	28
131	108	52	28
132	108	52	28
133	108	52	28
134	108	52	28
135	107	51	28
136	108	51	28
137	108	50	28
138	104	48	28
139	105	48	28
140	104	46	28
141	100	44	28
142	100	44	28
143	101	44	28
144	100	43	28
145	98	42	28
146	99	42	28
147	97	41	28
148	96	40	28
149	97	40	28
150	94	38	28
151	95	38	28
152	94	37	28
153	92	36	28
154	94	37	28
155	94	36	28
156	90	34	28
157	90	34	28
158	90	34	28
159	90	34	28
160	193	110	28
161	111	55	28
162	112	55	28
163	109	53	28
164	109	53	28
165	111	53	28
166	107	51	28
167	107	51	28
168	107	51	28
169	107	51	28
170	109	51	28
171	105	49	28
172	106	48	28
173	103	46	28
174	101	45	28
175	101	45	28
176	102	45	28
177	100	44	28
178	100	44	28
179	101	44	28
180	99	42	28
181	97	41	28
182	97	40	28
183	95	39	28
184	96	39	28
185	95	38	28
186	94	38	28
