PSN	Read	Write	Erase
0	99	57	14
1	56	28	14
2	52	26	14
3	53	26	14
4	52	25	14
5	51	24	14
6	51	23	14
7	47	21	14
8	47	21	14
9	48	21	14
10	47	20	14
11	46	19	14
12	44	18	14
13	44	18	14
14	44	18	14
15	44	18	14
16	44	18	14
17	44	18	14
18	44	18	14
19	44	18	14
20	44	18	14
21	44	18	14
22	44	18	14
23	44	18	14
24	44	18	14
25	44	18	14
26	44	18	14
27	45	18	14
28	43	17	14
29	44	17	14
30	43	16	14
31	41	15	14
32	146	83	21
33	82	40	21
34	80	38	21
35	78	37	21
36	79	37	21
37	78	36	21
38	77	35	21
39	77	34	21
40	73	32	21
41	73	32	21
42	74	32	21
43	73	31	21
44	72	30	21
45	70	29	21
46	70	29	21
47	70	29	21
48	71	29	21
49	71	29	21
50	69	28	21
51	69	28	21
52	69	28	21
53	69	28	21
54	69	28	21
55	69	28	21
56	69	28	21
57	69	28	21
58	70	28	21
59	69	27	21
60	69	26	21
61	65	24	21
62	66	24	21
63	65	23	21
64	71	41	10
65	41	21	10
66	41	20	10
67	40	19	10
68	38	18	10
69	39	18	10
70	38	17	10
71	37	16	10
72	36	15	10
73	34	14	10
74	34	14	10
75	34	14	10
76	37	15	10
77	36	14	10
78	32	12	10
79	32	12	10
80	32	12	10
81	32	12	10
82	32	12	10
83	32	12	10
84	32	12	10
85	32	12	10
86	32	12	10
87	32	12	10
88	32	12	10
89	32	12	10
90	32	12	10
91	32	12	10
92	32	12	10
93	33	12	10
94	31	11	10
95	31	11	10
96	146	83	21
97	82	40	21
98	79	38	21
99	80	38	21
100	79	37	21
101	77	36	21
102	78	36	21
103	77	35	21
104	77	34	21
105	74	32	21
106	72	31	21
107	73	31	21
108	72	31	21
109	73	31	21
110	73	30	21
111	69	28	21
112	69	28	21
113	71	29	21
114	70	28	21
115	68	27	21
116	68	27	21
117	68	27	21
118	68	27	21
119	68	27	21
120	68	27	21
121	68	27	21
122	68	27	21
123	69	27	21
124	68	26	21
125	67	25	21
126	66	24	21
127	65	23	21
128	92	53	13
129	54	27	13
130	51	25	13
131	51	25	13
132	52	25	13
133	51	24	13
134	49	23	13
135	50	23	13
136	49	22	13
137	49	21	13
138	46	19	13
139	44	18	13
140	46	19	13
141	44	18	13
142	45	18	13
143	45	17	13
144	41	15	13
145	41	15	13
146	41	15	13
147	41	15	13
148	41	15	13
149	41	15	13
150	41	15	13
151	41	15	13
152	41	15	13
153	41	15	13
154	41	15	13
155	41	15	13
156	41	15	13
157	41	15	13
158	41	15	13
159	42	15	13
160	147	84	21
161	84	42	21
162	83	41	21
163	83	41	21
164	84	41	21
165	83	40	21
166	82	39	21
167	80	38	21
168	80	38	21
169	81	38	21
170	81	37	21
171	77	35	21
172	80	36	21
173	76	34	21
174	76	34	21
175	76	34	21
176	78	34	21
177	75	32	21
178	73	31	21
179	75	31	21
180	72	29	21
181	71	28	21
182	70	27	21
183	69	26	21
184	67	25	21
185	67	25	21
186	68	25	21
187	68	24	21
188	65	22	21
189	63	21	21
190	63	21	21
191	63	21	21
192	57	33	8
193	33	17	8
194	31	16	8
195	31	16	8
196	31	16	8
197	32	16	8
198	31	15	8
199	29	14	8
200	30	14	8
201	28	13	8
202	29	13	8
203	28	12	8
204	26	11	8
205	26	11	8
206	26	11	8
207	27	11	8
208	26	10	8
209	24	9	8
210	24	9	8
211	24	9	8
212	24	9	8
213	24	9	8
214	24	9	8
215	24	9	8
216	24	9	8
217	24	9	8
218	24	9	8
219	24	9	8
220	24	9	8
221	24	9	8
222	24	9	8
223	24	9	8
224	146	83	21
225	79	39	21
226	82	39	21
227	76	36	21
228	76	36	21
229	76	36	21
230	77	36	21
231	76	35	21
232	74	34	21
233	76	34	21
234	73	32	21
235	72	31	21
236	71	30	21
237	70	29	21
238	68	28	21
239	68	28	21
240	69	28	21
241	69	28	21
242	68	27	21
243	67	26	21
244	65	25	21
245	65	25	21
246	65	25	21
247	65	25	21
248	65	25	21
249	65	25	21
250	65	25	21
251	65	25	21
252	66	25	21
253	65	24	21
254	64	23	21
255	62	22	21
256	146	83	21
257	85	41	21
258	81	39	21
259	84	39	21
260	78	36	21
261	78	36	21
262	78	36	21
263	79	36	21
264	78	35	21
265	76	34	21
266	78	34	21
267	75	32	21
268	74	31	21
269	73	30	21
270	72	29	21
271	70	28	21
272	70	28	21
273	72	29	21
274	71	28	21
275	70	27	21
276	69	26	21
277	67	25	21
278	67	25	21
279	67	25	21
280	67	25	21
281	67	25	21
282	67	25	21
283	67	25	21
284	67	25	21
285	68	25	21
286	67	24	21
287	66	23	21
288	134	76	19
289	77	38	19
290	79	38	19
291	75	36	19
292	78	36	19
293	72	33	19
294	72	33	19
295	72	33	19
296	73	33	19
297	72	32	19
298	70	31	19
299	72	31	19
300	69	29	19
301	68	28	19
302	67	27	19
303	66	26	19
304	64	25	19
305	64	26	19
306	65	26	19
307	64	25	19
308	63	24	19
309	62	23	19
310	60	22	19
311	60	22	19
312	60	22	19
313	60	22	19
314	60	22	19
315	60	22	19
316	60	22	19
317	60	22	19
318	61	22	19
319	60	21	19
320	113	65	16
321	65	33	16
322	65	33	16
323	67	33	16
324	63	31	16
325	66	31	16
326	60	28	16
327	60	28	16
328	60	28	16
329	61	28	16
330	60	27	16
331	58	26	16
332	60	26	16
333	57	24	16
334	56	23	16
335	55	22	16
336	54	21	16
337	52	20	16
338	52	20	16
339	53	20	16
340	52	19	16
341	51	18	16
342	49	17	16
343	49	17	16
