PBN	Read	Write	Erase
0	1851	704	18
1	1872	722	18
2	1129	441	11
3	2	2	0
4	1856	705	18
5	612	229	6
6	1903	724	18
7	1796	686	17
8	31	16	0
9	29	15	0
10	31	16	0
11	31	16	0
12	29	15	0
13	26	14	0
14	25	13	0
15	22	12	0
16	1598	608	15
17	1754	673	17
18	31	16	0
19	31	16	0
20	31	16	0
21	31	16	0
22	31	16	0
23	31	16	0
24	483	182	4
25	1663	646	16
26	31	16	0
27	31	16	0
28	31	16	0
29	31	16	0
30	31	16	0
31	31	16	0
32	31	16	0
33	448	167	4
34	31	16	0
35	31	16	0
36	31	16	0
37	31	16	0
38	31	16	0
39	31	16	0
40	1587	612	15
41	1165	433	11
42	31	16	0
43	31	16	0
44	31	16	0
45	31	16	0
46	31	16	0
47	1573	599	15
48	1477	587	14
49	31	16	0
50	29	15	0
51	31	16	0
52	31	16	0
53	31	16	0
54	31	16	0
55	1442	533	14
56	780	306	7
57	31	16	0
58	27	14	0
59	31	16	0
60	31	16	0
61	31	16	0
62	31	16	0
63	31	16	0
64	31	16	0
65	1078	408	10
66	1323	501	13
67	31	16	0
68	31	16	0
69	31	16	0
70	31	16	0
71	31	16	0
72	31	16	0
73	1333	501	13
74	1223	472	12
75	31	16	0
76	31	16	0
77	31	16	0
78	31	16	0
79	31	16	0
80	31	16	0
81	31	16	0
82	113	47	1
83	943	353	9
84	31	16	0
85	31	16	0
86	31	16	0
87	31	16	0
88	31	16	0
89	31	16	0
90	31	16	0
91	146	65	1
92	874	336	8
93	31	16	0
94	31	16	0
95	31	16	0
96	31	16	0
97	31	16	0
98	31	16	0
99	31	16	0
100	31	16	0
101	1130	433	11
102	1012	381	10
103	31	16	0
104	31	16	0
105	31	16	0
106	31	16	0
107	31	16	0
108	31	16	0
109	31	16	0
110	31	16	0
111	143	64	1
112	1016	388	10
113	31	16	0
114	31	16	0
115	31	16	0
116	31	16	0
117	31	16	0
118	31	16	0
119	31	16	0
120	31	16	0
121	104	43	1
122	31	16	0
123	29	15	0
124	31	16	0
125	31	16	0
126	31	16	0
127	31	16	0
128	31	16	0
129	31	16	0
130	31	16	0
131	137	60	1
132	102	46	1
133	21	11	0
134	25	13	0
135	23	12	0
136	25	13	0
137	31	16	0
138	28	15	0
139	31	16	0
140	31	16	0
141	31	16	0
142	31	16	0
143	31	16	0
144	864	330	8
145	815	322	8
146	31	16	0
147	29	15	0
148	28	15	0
149	29	15	0
150	29	15	0
151	31	16	0
152	31	16	0
153	31	16	0
154	31	16	0
155	31	16	0
156	637	243	6
157	29	15	0
158	29	15	0
159	29	15	0
160	29	15	0
161	31	16	0
162	28	15	0
163	31	16	0
164	31	16	0
165	31	16	0
166	31	16	0
167	847	327	8
168	698	272	7
169	31	16	0
170	31	16	0
171	31	16	0
172	31	16	0
173	31	16	0
174	31	16	0
175	31	16	0
176	31	16	0
177	113	47	1
178	308	117	3
179	31	16	0
180	31	16	0
181	31	16	0
182	29	15	0
183	31	16	0
184	31	16	0
185	31	16	0
186	619	240	6
187	595	236	6
188	31	16	0
189	31	16	0
190	31	16	0
191	31	16	0
192	31	16	0
193	559	212	5
194	591	228	6
195	31	16	0
196	31	16	0
197	31	16	0
198	31	16	0
199	31	16	0
200	31	16	0
201	31	16	0
202	462	175	4
203	496	199	5
204	31	16	0
205	31	16	0
206	31	16	0
207	31	16	0
208	31	16	0
209	31	16	0
210	31	16	0
211	413	167	4
212	395	165	4
213	31	16	0
214	31	16	0
215	31	16	0
216	31	16	0
217	31	16	0
218	31	16	0
219	31	16	0
220	391	153	4
221	314	123	3
222	31	16	0
223	31	16	0
224	29	15	0
225	27	14	0
226	25	13	0
227	24	13	0
228	25	13	0
229	27	14	0
230	29	15	0
231	31	16	0
232	325	132	3
233	275	110	3
234	25	13	0
235	23	12	0
236	25	13	0
237	23	12	0
238	27	14	0
239	27	14	0
240	25	13	0
241	27	14	0
242	25	13	0
243	31	16	0
244	31	16	0
245	31	16	0
246	290	117	3
247	171	73	2
248	31	16	0
249	31	16	0
250	31	16	0
251	31	16	0
252	31	16	0
253	211	84	2
254	173	74	2
255	31	16	0
256	31	16	0
257	31	16	0
258	31	16	0
