PBN	Read	Write	Erase
0	10222	4342	87
1	1265	558	11
2	9957	4285	84
3	572	268	5
4	20680	8909	174
5	926	416	8
6	8959	3830	76
7	13624	5932	114
8	8981	3849	76
9	926	416	8
10	926	416	8
11	926	416	8
12	926	416	8
13	926	416	8
14	926	416	8
15	926	416	8
16	926	416	8
17	926	416	8
18	926	416	8
19	926	416	8
20	926	416	8
21	926	416	8
22	926	416	8
23	926	416	8
24	926	416	8
25	926	416	8
26	926	416	8
27	926	416	8
28	926	416	8
29	926	416	8
30	926	416	8
31	926	416	8
32	926	416	8
33	926	416	8
34	926	416	8
35	926	416	8
36	926	416	8
37	926	416	8
38	926	416	8
39	926	416	8
40	926	416	8
41	926	416	8
42	926	416	8
43	926	416	8
44	926	416	8
45	926	416	8
46	926	416	8
47	926	416	8
48	926	416	8
49	926	416	8
50	926	416	8
51	926	416	8
52	926	416	8
53	926	416	8
54	926	416	8
55	926	416	8
56	926	416	8
57	926	416	8
58	926	416	8
59	926	416	8
60	926	416	8
61	926	416	8
62	926	416	8
63	926	416	8
64	926	416	8
65	926	416	8
66	926	416	8
67	926	416	8
68	926	416	8
69	926	416	8
70	926	416	8
71	926	416	8
72	926	416	8
73	926	416	8
74	926	416	8
75	926	416	8
76	926	416	8
77	926	416	8
78	926	416	8
79	926	416	8
80	926	416	8
81	926	416	8
82	926	416	8
83	926	416	8
84	926	416	8
85	926	416	8
86	926	416	8
87	926	416	8
88	926	416	8
89	926	416	8
90	926	416	8
91	926	416	8
92	926	416	8
93	926	416	8
94	926	416	8
95	926	416	8
96	926	416	8
97	926	416	8
98	926	416	8
99	926	416	8
100	926	416	8
101	926	416	8
102	926	416	8
103	926	416	8
104	926	416	8
105	926	416	8
106	926	416	8
107	13847	6023	116
108	926	416	8
109	13711	5951	115
110	13174	5686	111
111	13398	5768	113
112	13153	5664	111
113	13377	5818	112
114	10969	4685	93
115	4187	1868	35
116	13052	5633	110
117	4242	1833	36
118	12996	5646	109
119	12834	5538	108
120	926	416	8
121	6314	2684	54
122	7526	3231	64
123	6310	2680	54
124	6306	2676	54
125	10527	4534	89
126	5374	2288	46
127	5374	2285	46
128	5387	2301	46
129	5366	2280	46
130	5358	2269	46
131	5362	2276	46
132	2771	1266	23
133	5375	2288	46
134	446	209	4
135	2507	1129	21
136	2271	1031	19
137	2300	1064	19
138	2070	967	17
139	2077	970	17
140	2073	971	17
141	1903	860	16
142	332	146	3
143	332	162	3
144	336	166	3
145	323	154	3
146	602	300	5
147	0	0	0
148	0	0	0
149	0	0	0
150	0	0	0
151	0	0	0
152	0	0	0
153	0	0	0
154	0	0	0
155	0	0	0
156	0	0	0
157	0	0	0
158	0	0	0
159	0	0	0
160	0	0	0
161	0	0	0
162	0	0	0
163	0	0	0
164	0	0	0
165	0	0	0
166	0	0	0
167	0	0	0
168	0	0	0
169	0	0	0
170	0	0	0
171	0	0	0
172	0	0	0
173	0	0	0
174	0	0	0
175	0	0	0
176	1591	757	13
177	1603	774	13
178	1465	701	12
179	1463	696	12
180	1353	661	11
181	0	0	0
182	0	0	0
183	0	0	0
184	0	0	0
185	0	0	0
186	0	0	0
187	0	0	0
188	0	0	0
189	0	0	0
190	0	0	0
191	0	0	0
192	0	0	0
193	0	0	0
194	0	0	0
195	0	0	0
196	0	0	0
197	0	0	0
198	0	0	0
199	0	0	0
200	0	0	0
201	0	0	0
202	0	0	0
203	0	0	0
204	0	0	0
205	0	0	0
206	0	0	0
207	0	0	0
208	0	0	0
209	0	0	0
210	0	0	0
211	0	0	0
212	0	0	0
213	0	0	0
214	0	0	0
215	0	0	0
216	0	0	0
217	0	0	0
218	0	0	0
219	0	0	0
220	0	0	0
221	0	0	0
222	0	0	0
223	0	0	0
224	0	0	0
225	0	0	0
226	0	0	0
227	0	0	0
228	0	0	0
229	0	0	0
230	0	0	0
231	0	0	0
232	0	0	0
233	0	0	0
234	0	0	0
235	0	0	0
236	0	0	0
237	0	0	0
238	0	0	0
239	0	0	0
240	0	0	0
241	0	0	0
242	0	0	0
243	0	0	0
244	0	0	0
245	0	0	0
246	0	0	0
247	0	0	0
248	0	0	0
249	0	0	0
250	0	0	0
251	0	0	0
252	0	0	0
253	0	0	0
254	0	0	0
255	0	0	0
256	9639	4099	82
257	10090	4290	86
258	10079	4276	86
259	10091	4294	86
260	10060	4260	86
261	10095	4294	86
262	10074	4274	86
263	10067	4264	86
264	926	416	8
265	926	416	8
266	926	416	8
267	926	416	8
268	926	416	8
269	926	416	8
270	926	416	8
271	926	416	8
272	926	416	8
273	926	416	8
274	926	416	8
275	926	416	8
276	926	416	8
277	926	416	8
278	926	416	8
279	926	416	8
280	926	416	8
281	926	416	8
282	926	416	8
283	926	416	8
284	926	416	8
285	926	416	8
286	926	416	8
287	926	416	8
288	926	416	8
289	926	416	8
290	926	416	8
291	926	416	8
292	926	416	8
293	926	416	8
294	926	416	8
295	926	416	8
296	926	416	8
297	926	416	8
298	926	416	8
299	926	416	8
300	926	416	8
301	926	416	8
302	926	416	8
303	926	416	8
304	926	416	8
305	926	416	8
306	926	416	8
307	926	416	8
308	926	416	8
309	926	416	8
310	926	416	8
311	926	416	8
312	926	416	8
313	926	416	8
314	926	416	8
315	926	416	8
316	2841	1243	24
317	2821	1225	24
318	2823	1225	24
319	2841	1245	24
320	2829	1233	24
321	2823	1225	24
322	2849	1253	24
323	2869	1273	24
324	2841	1243	24
325	2825	1229	24
326	2823	1225	24
327	2845	1249	24
328	1905	853	16
329	926	416	8
330	926	416	8
331	926	416	8
332	926	416	8
333	2039	935	17
334	926	416	8
335	926	416	8
336	926	416	8
337	926	416	8
338	926	416	8
339	926	416	8
340	3622	1556	31
341	5640	2425	48
342	6059	2650	51
343	5683	2476	48
344	4536	1921	39
345	5843	2570	49
346	5705	2497	48
347	4350	1847	37
348	5127	2259	43
349	5314	2306	45
350	4078	1818	34
351	5365	2363	45
352	2682	1155	23
353	926	416	8
354	926	416	8
355	926	416	8
356	926	416	8
357	926	416	8
358	926	416	8
359	926	416	8
360	926	416	8
361	926	416	8
362	926	416	8
363	926	416	8
364	926	416	8
365	926	416	8
366	926	416	8
367	926	416	8
368	926	416	8
369	926	416	8
370	926	416	8
371	926	416	8
372	926	416	8
373	3703	1653	31
374	3584	1595	30
375	3485	1549	29
376	1056	453	9
377	3345	1493	28
378	3253	1474	27
379	711	332	6
380	3114	1403	26
381	3153	1443	26
382	2974	1331	25
383	2986	1343	25
384	2676	1233	22
385	2645	1200	22
386	2555	1177	21
387	1367	670	11
388	982	491	8
389	805	362	7
390	1166	520	10
391	818	357	7
392	2176	1005	18
393	0	0	0
394	0	0	0
395	0	0	0
396	0	0	0
397	0	0	0
398	0	0	0
399	0	0	0
400	0	0	0
401	0	0	0
402	0	0	0
403	0	0	0
404	0	0	0
405	0	0	0
406	0	0	0
407	0	0	0
408	0	0	0
409	0	0	0
410	0	0	0
411	0	0	0
412	0	0	0
413	0	0	0
414	0	0	0
