PSN	Read	Write	Erase
0	114	54	18
1	61	25	18
2	63	27	18
3	55	20	18
4	59	24	18
5	53	18	18
6	57	22	18
7	53	18	18
8	57	22	18
9	53	18	18
10	62	27	18
11	53	18	18
12	62	27	18
13	53	18	18
14	62	27	18
15	53	18	18
16	62	27	18
17	53	18	18
18	61	26	18
19	53	18	18
20	55	20	18
21	53	18	18
22	55	20	18
23	53	18	18
24	56	21	18
25	53	18	18
26	55	20	18
27	53	18	18
28	55	20	18
29	54	19	18
30	56	21	18
31	54	19	18
32	117	55	18
33	56	21	18
34	63	28	18
35	56	21	18
36	62	27	18
37	55	20	18
38	60	25	18
39	53	18	18
40	60	24	18
41	53	18	18
42	64	29	18
43	53	18	18
44	63	28	18
45	53	18	18
46	63	28	18
47	53	18	18
48	63	28	18
49	53	18	18
50	63	28	18
51	53	18	18
52	56	21	18
53	53	18	18
54	56	21	18
55	53	18	18
56	58	22	18
57	53	18	18
58	56	21	18
59	53	18	18
60	54	19	18
61	56	20	18
62	55	20	18
63	53	18	18
64	70	33	11
65	39	18	11
66	42	21	11
67	37	16	11
68	40	19	11
69	36	15	11
70	38	17	11
71	35	14	11
72	38	17	11
73	33	12	11
74	35	14	11
75	32	11	11
76	34	13	11
77	32	11	11
78	34	13	11
79	32	11	11
80	34	13	11
81	32	11	11
82	33	12	11
83	32	11	11
84	33	12	11
85	32	11	11
86	33	12	11
87	32	11	11
88	33	12	11
89	32	11	11
90	34	13	11
91	32	11	11
92	34	13	11
93	32	11	11
94	32	11	11
95	32	11	11
96	1	1	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
101	0	0	0
102	0	0	0
103	0	0	0
104	0	0	0
105	0	0	0
106	0	0	0
107	0	0	0
108	0	0	0
109	0	0	0
110	0	0	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0	0	0
115	0	0	0
116	0	0	0
117	0	0	0
118	0	0	0
119	0	0	0
120	0	0	0
121	0	0	0
122	1	1	0
123	0	0	0
