PBN	Read	Write	Erase
0	856	69	1
1	1622	151	3
2	184	13	0
3	33	6	0
4	1320	73	2
5	1320	73	2
6	417	97	1
7	411	97	1
8	316	92	1
9	477	58	2
10	1590	89	2
11	362	62	1
12	714	153	3
13	151	30	0
14	2304	133	2
15	2056	150	3
16	576	101	1
17	1256	72	2
18	162	48	0
19	1862	105	2
20	1111	104	1
21	778	125	2
22	640	117	2
23	131	31	0
24	1190	99	1
25	172	32	0
26	1326	99	1
27	177	32	0
28	3108	182	3
29	167	32	0
30	2304	133	2
31	168	32	0
32	1955	147	2
33	171	32	0
34	1324	99	1
35	170	32	0
36	1332	103	1
37	173	32	0
38	2304	133	2
39	167	32	0
40	952	88	2
41	902	112	2
42	643	132	2
43	322	84	1
44	748	91	2
45	713	99	1
46	132	35	0
47	170	38	0
48	1406	105	1
49	173	32	0
50	1320	99	1
51	171	32	0
52	1381	102	2
53	172	32	0
54	1862	104	2
55	171	32	0
56	2123	146	2
57	167	32	0
58	1398	115	2
59	177	32	0
60	1228	106	2
61	1761	146	3
62	422	97	1
63	718	103	1
64	1450	78	2
65	922	119	2
66	286	62	1
67	33	10	0
68	50	10	0
69	1792	115	2
70	173	32	0
71	1395	131	2
72	175	32	0
73	1381	102	2
74	177	32	0
75	1155	68	1
76	164	32	0
77	1332	103	1
78	173	32	0
79	1394	117	2
80	174	32	0
81	1406	105	1
82	175	32	0
83	1830	103	2
84	413	82	1
85	421	97	1
86	408	79	1
87	411	85	1
88	70	20	0
89	1724	96	2
90	166	32	0
91	1270	71	1
92	178	32	0
93	1395	119	2
94	168	32	0
95	1918	113	2
96	173	32	0
97	1178	75	1
98	179	32	0
99	1381	102	2
100	169	32	0
101	1966	108	2
102	483	82	2
103	321	80	1
104	491	117	2
105	1112	58	2
106	485	107	2
107	57	17	0
108	418	77	1
109	412	97	1
110	12	2	0
111	1258	94	1
112	174	32	0
113	1666	112	1
114	176	32	0
115	1157	68	1
116	172	32	0
117	1390	78	2
118	169	32	0
119	1398	110	2
120	168	32	0
121	1862	104	2
122	419	81	1
123	236	64	1
124	169	50	0
125	255	68	1
126	409	83	1
127	1112	57	2
128	492	106	2
129	132	35	0
130	148	30	0
131	1957	116	2
132	162	32	0
133	1163	69	1
134	169	32	0
135	1381	102	2
136	174	32	0
137	2304	133	2
138	167	32	0
139	1792	115	2
140	164	32	0
141	1321	99	1
142	177	32	0
143	1219	100	2
144	479	94	2
145	1388	131	2
146	1404	125	2
147	1042	53	2
148	487	108	2
149	1387	123	2
150	32	10	0
151	73	15	0
152	1332	103	1
153	164	32	0
154	2304	133	2
155	173	32	0
156	1550	109	1
157	172	32	0
158	1316	99	1
159	175	32	0
160	1348	102	1
161	167	32	0
162	2304	133	2
163	177	32	0
164	1381	102	2
165	171	32	0
166	1325	99	1
167	175	32	0
168	1222	90	1
169	1391	105	2
170	473	100	2
171	998	103	2
172	743	62	1
173	1393	119	2
174	650	123	2
175	79	15	0
176	1823	108	2
177	165	32	0
178	2304	133	2
179	169	32	0
180	1630	111	1
181	175	32	0
182	1153	67	1
183	173	32	0
184	1579	108	2
185	175	32	0
186	1153	67	1
187	168	32	0
188	850	68	1
189	914	97	2
190	1396	131	2
191	10	3	0
192	617	88	1
193	1395	118	2
194	1122	84	1
195	1393	108	2
196	52	13	0
197	39	7	0
198	1701	102	2
199	167	32	0
200	1153	67	1
201	171	32	0
202	1230	100	1
203	164	32	0
204	1153	67	1
205	176	32	0
206	1381	102	2
207	178	32	0
208	1153	67	1
209	169	32	0
210	1594	110	1
211	163	32	0
212	848	68	1
213	1285	110	1
214	244	65	1
215	245	47	1
216	254	52	1
217	945	52	1
218	250	42	1
219	241	65	1
220	47	13	0
221	36	7	0
222	1153	67	1
223	173	32	0
224	1777	114	2
225	178	32	0
226	1153	67	1
227	170	32	0
228	1414	105	1
229	167	32	0
230	1153	67	1
231	171	32	0
232	1381	102	2
233	165	32	0
234	1153	67	1
235	176	32	0
236	2062	121	2
237	216	35	1
238	186	8	1
239	241	64	1
240	103	5	1
241	160	48	0
242	709	38	1
243	242	49	1
244	248	48	1
245	246	65	1
246	152	38	0
247	1153	67	1
248	168	32	0
249	1226	100	1
250	170	32	0
251	1153	67	1
252	171	32	0
253	1355	74	2
254	173	32	0
255	1153	67	1
256	169	32	0
257	1381	102	2
258	169	32	0
259	1153	67	1
260	177	32	0
261	1908	109	2
262	172	32	0
263	677	36	1
264	240	50	1
265	252	64	1
266	244	47	1
267	240	65	1
268	241	52	1
269	811	44	1
270	249	46	1
271	48	13	0
272	60	11	0
273	1153	67	1
274	173	32	0
275	1829	114	2
276	172	32	0
277	1153	67	1
278	171	32	0
279	1520	108	1
280	172	32	0
281	1153	67	1
282	166	32	0
283	1348	102	1
284	168	32	0
285	1153	67	1
286	176	32	0
287	1381	102	2
288	170	32	0
289	1119	62	1
290	251	37	1
291	194	58	0
292	240	65	1
293	641	34	1
294	239	51	1
295	243	51	1
296	129	31	0
297	1153	67	1
298	168	32	0
299	1358	78	2
300	179	32	0
301	1153	67	1
302	169	32	0
303	1823	108	2
304	176	32	0
305	1153	67	1
306	175	32	0
307	1630	111	1
308	169	32	0
309	1153	67	1
310	173	32	0
311	1381	102	2
312	171	32	0
313	677	36	1
314	246	50	1
315	641	107	1
316	244	48	1
317	481	86	2
318	121	32	0
319	1153	67	1
320	172	32	0
321	1957	116	2
322	171	32	0
323	1153	67	1
324	170	32	0
325	1792	115	2
326	177	32	0
327	1153	67	1
328	176	32	0
329	1381	102	2
330	173	32	0
331	1153	67	1
332	172	32	0
333	1332	103	1
334	169	32	0
335	1153	67	1
336	166	32	0
337	983	54	1
338	865	88	2
339	1110	120	1
340	470	94	2
341	505	26	1
342	508	93	1
343	247	55	1
344	35	10	0
345	244	65	1
346	99	24	0
347	1728	103	2
348	167	32	0
349	1153	67	1
350	170	32	0
351	1381	102	2
352	164	32	0
353	1153	67	1
354	171	32	0
355	1594	110	1
356	179	32	0
357	1153	67	1
358	161	32	0
359	1190	99	1
360	165	32	0
361	1153	67	1
362	173	32	0
363	1381	102	2
364	179	32	0
365	1153	67	1
366	175	32	0
367	1843	116	2
368	173	32	0
369	779	42	1
370	237	47	1
371	241	53	1
372	573	30	1
