PBN	Read	Write	Erase
0	238	11	1
1	2	2	0
2	167	6	1
3	167	6	1
4	244	62	1
5	240	64	1
6	240	64	1
7	104	19	0
8	22	7	0
9	45	17	0
10	43	13	0
11	122	12	0
12	34	8	0
13	31	16	0
14	29	15	0
15	31	16	0
16	31	16	0
17	29	15	0
18	26	14	0
19	25	13	0
20	22	12	0
21	63	10	0
22	246	65	1
23	49	14	0
24	102	18	0
25	31	7	0
26	31	16	0
27	31	16	0
28	31	16	0
29	31	16	0
30	31	16	0
31	31	16	0
32	75	16	0
33	44	14	0
34	96	15	0
35	29	7	0
36	31	16	0
37	31	16	0
38	31	16	0
39	31	16	0
40	31	16	0
41	31	16	0
42	31	16	0
43	171	14	0
44	79	21	0
45	31	16	0
46	31	16	0
47	31	16	0
48	31	16	0
49	31	16	0
50	31	16	0
51	73	15	0
52	46	14	0
53	246	65	1
54	98	16	0
55	25	7	0
56	31	16	0
57	31	16	0
58	31	16	0
59	31	16	0
60	31	16	0
61	67	12	0
62	46	14	0
63	104	19	0
64	243	63	1
65	141	42	0
66	29	7	0
67	31	16	0
68	29	15	0
69	31	16	0
70	31	16	0
71	31	16	0
72	31	16	0
73	75	16	0
74	49	14	0
75	94	14	0
76	27	7	0
77	31	16	0
78	27	14	0
79	31	16	0
80	31	16	0
81	31	16	0
82	31	16	0
83	31	16	0
84	31	16	0
85	77	17	0
86	42	14	0
87	94	14	0
88	28	7	0
89	31	16	0
90	31	16	0
91	31	16	0
92	31	16	0
93	31	16	0
94	31	16	0
95	135	13	0
96	243	65	1
97	68	18	0
98	33	17	0
99	11	3	0
100	31	16	0
101	31	16	0
102	31	16	0
103	31	16	0
104	31	16	0
105	31	16	0
106	31	16	0
107	135	13	0
108	67	18	0
109	33	17	0
110	12	3	0
111	31	16	0
112	31	16	0
113	31	16	0
114	31	16	0
115	31	16	0
116	31	16	0
117	31	16	0
118	45	17	0
119	186	7	1
120	42	13	0
121	246	63	1
122	122	12	0
123	30	8	0
124	31	16	0
125	31	16	0
126	31	16	0
127	31	16	0
128	31	16	0
