PBN	Read	Write	Erase
0	1205	69	1
1	2006	151	3
2	184	13	0
3	21	6	0
4	1320	73	2
5	1320	73	2
6	1155	97	1
7	1155	97	1
8	700	92	1
9	862	58	2
10	1590	89	2
11	746	62	1
12	1480	153	3
13	381	30	0
14	2304	133	2
15	2437	150	3
16	960	101	1
17	1256	72	2
18	348	48	0
19	1862	105	2
20	1494	104	1
21	1243	125	2
22	1383	117	2
23	262	31	0
24	1190	99	1
25	528	32	0
26	1681	99	1
27	528	32	0
28	3108	182	3
29	528	32	0
30	2304	133	2
31	528	32	0
32	2320	147	2
33	528	32	0
34	1681	99	1
35	528	32	0
36	1332	103	1
37	528	32	0
38	2304	133	2
39	528	32	0
40	1338	88	2
41	1635	112	2
42	1383	132	2
43	704	84	1
44	1132	91	2
45	1096	99	1
46	266	35	0
47	503	38	0
48	1406	105	1
49	528	32	0
50	1681	99	1
51	528	32	0
52	1381	102	2
53	528	32	0
54	1862	104	2
55	528	32	0
56	2422	146	2
57	528	32	0
58	1778	115	2
59	528	32	0
60	1610	106	2
61	2138	146	3
62	1155	97	1
63	1096	103	1
64	1450	78	2
65	1662	119	2
66	655	62	1
67	25	10	0
68	55	10	0
69	1792	115	2
70	528	32	0
71	1778	131	2
72	528	32	0
73	1381	102	2
74	528	32	0
75	1154	68	1
76	528	32	0
77	1332	103	1
78	528	32	0
79	1778	117	2
80	528	32	0
81	1406	105	1
82	528	32	0
83	1830	103	2
84	1155	82	1
85	1155	97	1
86	1155	79	1
87	1155	85	1
88	98	20	0
89	1724	96	2
90	528	32	0
91	1270	71	1
92	528	32	0
93	1778	119	2
94	528	32	0
95	1918	113	2
96	528	32	0
97	1171	75	1
98	528	32	0
99	1381	102	2
100	528	32	0
101	1966	108	2
102	1254	82	2
103	733	80	1
104	1252	117	2
105	1112	58	2
106	1254	107	2
107	62	17	0
108	1155	77	1
109	1155	97	1
110	3	2	0
111	1333	94	1
112	528	32	0
113	1666	112	1
114	528	32	0
115	1154	68	1
116	528	32	0
117	1390	78	2
118	528	32	0
119	1778	110	2
120	528	32	0
121	1862	104	2
122	1155	81	1
123	627	64	1
124	375	50	0
125	631	68	1
126	1155	83	1
127	1112	57	2
128	1252	106	2
129	266	35	0
130	381	30	0
131	1957	116	2
132	528	32	0
133	1156	69	1
134	528	32	0
135	1381	102	2
136	528	32	0
137	2304	133	2
138	528	32	0
139	1792	115	2
140	528	32	0
141	1681	99	1
142	528	32	0
143	1608	100	2
144	1252	94	2
145	1778	131	2
146	1778	125	2
147	1042	53	2
148	1252	108	2
149	1778	123	2
150	25	10	0
151	106	15	0
152	1332	103	1
153	528	32	0
154	2304	133	2
155	528	32	0
156	1550	109	1
157	528	32	0
158	1681	99	1
159	528	32	0
160	1348	102	1
161	528	32	0
162	2304	133	2
163	528	32	0
164	1381	102	2
165	528	32	0
166	1681	99	1
167	528	32	0
168	1579	90	1
169	1778	105	2
170	855	100	2
171	1382	103	2
172	1101	62	1
173	1778	119	2
174	1383	123	2
175	106	15	0
176	1823	108	2
177	528	32	0
178	2304	133	2
179	528	32	0
180	1630	111	1
181	528	32	0
182	1153	67	1
183	528	32	0
184	1579	108	2
185	528	32	0
186	1153	67	1
187	528	32	0
188	1205	68	1
189	1303	97	2
190	1778	131	2
191	4	3	0
192	994	88	1
193	1778	118	2
194	1473	84	1
195	1778	108	2
196	49	13	0
197	28	7	0
198	1701	102	2
199	528	32	0
200	1153	67	1
201	528	32	0
202	1230	100	1
203	528	32	0
204	1153	67	1
205	528	32	0
206	1381	102	2
207	528	32	0
208	1153	67	1
209	528	32	0
210	1594	110	1
211	528	32	0
212	1205	68	1
213	1673	110	1
214	627	65	1
215	627	47	1
216	627	52	1
217	945	52	1
218	627	42	1
219	627	65	1
220	49	13	0
221	28	7	0
222	1153	67	1
223	528	32	0
224	1777	114	2
225	528	32	0
226	1153	67	1
227	528	32	0
228	1414	105	1
229	528	32	0
230	1153	67	1
231	528	32	0
232	1381	102	2
233	528	32	0
234	1153	67	1
235	528	32	0
236	2062	121	2
237	596	35	1
238	186	8	1
239	627	64	1
240	103	5	1
241	348	48	0
242	709	38	1
243	627	49	1
244	627	48	1
245	627	65	1
246	363	38	0
247	1153	67	1
248	528	32	0
249	1226	100	1
250	528	32	0
251	1153	67	1
252	528	32	0
253	1355	74	2
254	528	32	0
255	1153	67	1
256	528	32	0
257	1381	102	2
258	528	32	0
259	1153	67	1
260	528	32	0
261	1908	109	2
262	528	32	0
263	677	36	1
264	627	50	1
265	627	64	1
266	627	47	1
267	627	65	1
268	627	52	1
269	811	44	1
270	627	46	1
271	49	13	0
272	66	11	0
273	1153	67	1
274	528	32	0
275	1829	114	2
276	528	32	0
277	1153	67	1
278	528	32	0
279	1520	108	1
280	528	32	0
281	1153	67	1
282	528	32	0
283	1348	102	1
284	528	32	0
285	1153	67	1
286	528	32	0
287	1381	102	2
