PBN	Read	Write	Erase
0	1084	60	1
1	627	38	1
2	509	27	1
3	627	55	1
4	627	52	1
5	1153	67	1
6	596	35	1
7	1153	67	1
8	528	32	0
9	1153	67	1
10	528	32	0
11	278	25	0
12	1153	67	1
13	528	32	0
14	1153	67	1
15	528	32	0
16	1153	67	1
17	596	35	1
18	1153	67	1
19	528	32	0
20	611	33	1
21	627	52	1
22	1153	67	1
23	596	35	1
24	1153	67	1
25	528	32	0
26	1153	67	1
27	528	32	0
28	1153	67	1
29	528	32	0
30	1153	67	1
31	528	32	0
32	1153	67	1
33	528	32	0
34	1153	67	1
35	528	32	0
36	625	61	1
37	101	4	1
38	91	13	0
39	103	5	1
40	1153	67	1
41	528	32	0
42	1153	67	1
43	528	32	0
44	1153	67	1
45	528	32	0
46	1153	67	1
47	528	32	0
48	1153	67	1
49	528	32	0
50	1153	67	1
51	528	32	0
52	1153	67	1
53	528	32	0
54	1153	67	1
55	528	32	0
56	1153	67	1
57	528	32	0
58	1153	67	1
59	528	32	0
60	1153	67	1
61	528	32	0
62	1153	67	1
63	528	32	0
64	1153	67	1
65	528	32	0
66	1153	67	1
67	528	32	0
68	1153	67	1
69	528	32	0
70	1153	67	1
71	528	32	0
72	1153	67	1
73	528	32	0
74	1153	67	1
75	528	32	0
76	1153	67	1
77	528	32	0
78	1153	67	1
79	528	32	0
80	1153	67	1
81	528	32	0
82	1153	67	1
83	528	32	0
84	1153	67	1
85	528	32	0
86	1153	67	1
87	528	32	0
88	1153	67	1
89	528	32	0
90	1153	67	1
91	528	32	0
92	1153	67	1
93	528	32	0
94	1153	67	1
95	528	32	0
96	1153	67	1
97	528	32	0
98	1153	67	1
99	528	32	0
100	1153	67	1
101	528	32	0
102	1153	67	1
103	528	32	0
104	1153	67	1
105	528	32	0
106	1153	67	1
107	528	32	0
108	1153	67	1
109	528	32	0
110	1153	67	1
111	528	32	0
112	1470	90	1
113	528	32	0
114	1153	67	1
115	528	32	0
116	2069	116	2
117	528	32	0
